Date,Open,High,Low,Close
12/28/2023,"134,193.59","134,391.67","133,832.26","134,185.24"
12/27/2023,"133,523.40","134,195.47","133,328.39","134,193.72"
12/26/2023,"132,752.95","133,644.66","132,752.95","133,532.92"
12/22/2023,"132,552.78","133,035.32","132,093.76","132,752.93"
12/21/2023,"130,826.19","132,276.94","130,822.35","132,182.01"
12/20/2023,"131,850.90","132,340.75","130,709.80","130,804.17"
12/19/2023,"131,087.69","132,046.94","131,085.81","131,850.90"
12/18/2023,"130,202.35","131,447.27","130,198.41","131,083.82"
12/15/2023,"130,841.93","131,661.25","129,883.62","130,197.10"
12/14/2023,"129,469.02","131,259.81","129,469.02","130,842.09"
12/13/2023,"126,406.22","129,793.35","126,298.76","129,465.08"
12/12/2023,"126,922.95","127,359.19","126,013.15","126,403.03"
12/11/2023,"127,092.79","127,153.64","126,526.12","126,916.41"
12/08/2023,"126,009.57","127,289.43","125,562.34","127,093.57"
12/07/2023,"125,622.65","126,581.04","125,565.53","126,009.57"
12/06/2023,"126,906.70","127,537.55","125,614.35","125,622.65"
12/05/2023,"126,802.40","127,488.56","126,491.48","126,903.25"
12/04/2023,"128,182.88","128,182.88","126,643.22","126,802.79"
12/01/2023,"127,331.12","128,184.91","126,655.67","128,184.91"
11/30/2023,"126,168.35","127,398.69","126,168.35","127,331.12"
11/29/2023,"126,540.64","127,388.15","126,017.97","126,165.64"
11/28/2023,"125,725.69","126,916.00","125,387.96","126,538.32"
11/27/2023,"125,517.27","125,826.08","124,839.65","125,731.45"
11/24/2023,"126,552.58","126,552.58","125,341.01","125,517.27"
11/23/2023,"126,034.62","126,759.88","125,763.78","126,575.75"
11/22/2023,"125,626.20","126,875.11","125,439.03","126,035.30"
11/21/2023,"125,957.06","125,957.06","125,059.77","125,626.03"
11/20/2023,"124,773.21","126,162.01","124,773.21","125,957.06"
11/17/2023,"124,639.24","125,431.07","124,546.59","124,773.21"
11/16/2023,"123,165.30","124,736.97","123,165.30","124,639.24"
11/14/2023,"120,410.51","123,370.35","120,410.51","123,165.76"
11/13/2023,"120,561.18","120,606.30","119,878.23","120,410.17"
11/10/2023,"119,035.85","120,822.77","119,035.85","120,568.14"
11/09/2023,"119,180.45","120,256.62","118,445.86","119,034.14"
11/08/2023,"119,268.06","119,975.84","118,463.87","119,176.67"
11/07/2023,"118,422.18","119,576.62","118,026.33","119,268.06"
11/06/2023,"118,159.97","118,757.52","118,044.82","118,431.25"
11/03/2023,"115,062.37","118,501.80","115,062.37","118,159.97"
11/01/2023,"113,156.70","115,433.25","113,156.70","115,052.96"
10/31/2023,"112,534.49","113,597.32","112,098.12","113,143.67"
10/30/2023,"113,303.16","114,204.07","112,308.50","112,531.52"
10/27/2023,"114,776.86","115,341.65","112,953.38","113,301.35"
10/26/2023,"112,840.03","114,885.61","112,840.03","114,776.86"
10/25/2023,"113,761.90","114,318.65","112,680.27","112,829.97"
10/24/2023,"112,813.83","114,248.72","112,813.83","113,761.90"
10/23/2023,"113,144.74","113,679.63","112,164.36","112,784.52"
10/20/2023,"113,996.28","114,089.58","112,533.33","113,155.28"
10/19/2023,"114,059.49","115,062.61","113,767.75","114,004.30"
10/18/2023,"115,907.04","115,907.04","113,952.11","114,059.64"
10/17/2023,"116,526.43","116,916.68","115,563.93","115,908.43"
10/16/2023,"115,759.93","116,905.38","115,759.93","116,533.85"
10/13/2023,"117,049.99","117,070.35","115,658.27","115,754.08"
10/11/2023,"116,736.95","117,098.64","116,231.22","117,050.74"
10/10/2023,"115,157.90","116,899.51","115,157.90","116,736.95"
10/09/2023,"114,168.99","115,218.65","113,448.18","115,156.07"
10/06/2023,"113,282.50","114,491.00","111,598.57","114,169.63"
10/05/2023,"113,608.78","114,359.33","112,704.87","113,284.08"
10/04/2023,"113,430.05","114,075.29","113,036.30","113,607.45"
10/03/2023,"115,054.87","115,055.63","113,150.89","113,419.04"
10/02/2023,"116,565.17","116,672.30","114,761.10","115,056.86"
09/29/2023,"115,742.27","116,899.02","115,742.27","116,565.17"
09/28/2023,"114,327.05","115,953.65","114,180.49","115,730.76"
09/27/2023,"114,193.43","115,340.41","113,365.75","114,327.05"
09/26/2023,"115,922.45","115,922.45","114,162.28","114,193.43"
09/25/2023,"116,008.64","116,030.83","115,573.35","115,924.61"
09/22/2023,"116,147.03","116,967.50","115,855.48","116,008.64"
09/21/2023,"118,695.09","118,695.09","116,012.92","116,145.05"
09/20/2023,"117,863.67","119,615.70","117,846.51","118,695.32"
09/19/2023,"118,293.14","118,457.81","117,627.67","117,845.78"
09/18/2023,"118,758.67","119,485.90","118,122.66","118,288.21"
09/15/2023,"119,392.62","119,780.20","118,666.46","118,757.53"
09/14/2023,"118,181.15","119,748.08","118,181.15","119,391.55"
09/13/2023,"117,968.12","119,317.66","117,721.83","118,175.97"
09/12/2023,"116,885.04","118,153.67","116,885.04","117,968.12"
09/11/2023,"115,315.94","117,130.81","115,315.94","116,883.34"
09/08/2023,"115,979.43","115,979.43","114,838.85","115,313.40"
09/06/2023,"117,331.30","117,970.71","115,983.53","115,985.34"
09/05/2023,"117,776.37","117,956.71","116,637.02","117,331.30"
09/04/2023,"118,201.31","118,576.42","117,589.94","117,776.62"
09/01/2023,"115,743.80","117,990.61","115,743.80","117,892.96"
08/31/2023,"117,537.42","117,636.62","115,741.81","115,741.81"
08/30/2023,"118,404.16","118,840.80","117,470.87","117,535.10"
08/29/2023,"117,123.70","118,493.13","117,123.70","118,403.61"
08/28/2023,"115,838.36","117,252.99","115,835.71","117,120.98"
08/25/2023,"117,025.02","117,252.11","115,396.62","115,837.20"
08/24/2023,"118,135.08","118,135.57","116,847.66","117,025.60"
08/23/2023,"116,159.67","118,134.59","116,158.89","118,134.59"
08/22/2023,"114,433.39","116,285.57","114,433.39","116,156.01"
08/21/2023,"115,409.37","115,424.65","114,066.51","114,429.35"
08/18/2023,"114,973.40","115,728.91","114,423.28","115,408.52"
08/17/2023,"115,592.14","116,610.49","114,859.21","114,982.30"
08/16/2023,"116,171.26","117,337.65","115,533.58","115,591.52"
08/15/2023,"116,808.91","117,697.25","116,033.15","116,171.42"
08/14/2023,"118,066.52","118,081.90","116,529.96","116,809.55"
08/11/2023,"118,349.60","119,053.92","117,415.21","118,065.14"
08/10/2023,"118,412.19","119,438.15","118,112.68","118,349.60"
